n_nodes,n_edges,avg_degree,network_density,source_degree,target_degree,euclidean_distance,shortest_path_hops,avg_edge_cost,max_edge_cost,min_edge_cost,source_betweenness,target_betweenness,n_alternative_paths,path,path_cost,path_distance,path_hops,path_regenerators,path_found,path_osnr,path_viable,source,target,network_id,network_type,network_name
71,331,9.32394366197183,0.13319919517102616,12,7,1562.5103104152333,6,6794623.363333333,9174566.46,4286875.28,0.010033070230289909,0.0011286219356603311,61679,"[39, 25, 40, 37, 60, 10, 49]",40767740.18,2005.88,6,13,True,15.72,False,39,49,0,synthetic,
71,331,9.32394366197183,0.13319919517102616,6,6,1171.981583108207,4,6849898.415,7650926.09,6164276.63,0.03990019320884945,0.0,5216,"[40, 37, 60, 10, 57]",27399593.66,1347.48,4,9,True,16.48,False,40,57,0,synthetic,
71,331,9.32394366197183,0.13319919517102616,6,14,1249.6822689285104,4,5587216.566666667,8433641.91,2013096.51,0.0035542301304605775,0.07528028986958177,675,"[44, 13, 1, 25, 40, 37, 7]",33523299.400000002,1648.65,6,11,True,16.09,False,44,7,0,synthetic,
71,331,9.32394366197183,0.13319919517102616,8,16,395.3291068257176,2,5083620.085,5657817.75,4509422.42,0.024571968453316165,0.036266538383567706,424,"[36, 46, 61]",10167240.17,500.86,2,3,True,19.21,False,36,61,0,synthetic,
71,331,9.32394366197183,0.13319919517102616,15,11,264.7081836353575,1,6692420.56,6692420.56,6692420.56,0.11857543952598525,0.00672389587475768,72,"[21, 22]",6692420.56,329.62,1,2,True,18.69,False,21,22,0,synthetic,
71,331,9.32394366197183,0.13319919517102616,5,7,222.0007405810351,1,5765874.34,5765874.34,5765874.34,0.013633738034070175,0.0357083546137711,12,"[3, 69]",5765874.34,283.29,1,2,True,19.16,True,3,69,0,synthetic,
71,331,9.32394366197183,0.13319919517102616,6,15,571.0367291348705,2,6622689.484999999,7081102.34,6164276.63,0.04662907960975336,0.03554427658580794,139,"[40, 37, 60]",13245378.969999999,652.27,2,4,True,18.5,False,40,60,0,synthetic,
71,331,9.32394366197183,0.13319919517102616,15,7,953.5545559415966,4,6471054.595,9221723.34,4062899.07,0.057731403300833116,0.02780716429036364,9215,"[10, 14, 38, 36, 69]",25884218.38,1274.2099999999998,4,8,True,15.69,False,10,69,0,synthetic,
71,331,9.32394366197183,0.13319919517102616,7,10,1192.1232423948713,5,5858923.425000001,9094901.49,3255339.72,0.03401588564434394,0.061454505826751334,5275,"[69, 59, 42, 34, 21, 5, 8]",35153540.550000004,1730.1799999999998,6,11,True,15.76,False,69,8,0,synthetic,
71,331,9.32394366197183,0.13319919517102616,7,2,1461.4674833564923,6,5839199.795714286,9221723.34,3002306.67,0.03100656322235292,0.0,3449,"[69, 36, 46, 51, 27, 31, 41, 16]",40874398.57,2011.2299999999998,7,13,True,15.69,False,69,16,0,synthetic,
71,331,9.32394366197183,0.13319919517102616,6,10,296.46125503555874,1,6731007.08,6731007.08,6731007.08,0.0010324854579512963,0.011576902115138293,32,"[12, 43]",6731007.08,331.55,1,2,True,18.67,False,12,43,0,synthetic,
71,331,9.32394366197183,0.13319919517102616,6,11,1384.267156319078,5,6834538.4,7650926.09,6164276.63,0.0,0.05963098620073972,12893,"[57, 10, 60, 37, 40, 42]",34172692.0,1681.13,5,11,True,16.48,False,57,42,0,synthetic,
71,331,9.32394366197183,0.13319919517102616,10,3,1037.9294565400974,4,7548221.1225000005,9407703.52,5129958.95,0.02363524249227735,0.012074351435472405,232,"[53, 45, 28, 26, 54]",30192884.490000002,1482.15,4,11,True,15.6,False,53,54,0,synthetic,
71,331,9.32394366197183,0.13319919517102616,12,9,404.7226239835964,2,5102867.125,7815364.8,2390369.45,0.008408970088951606,0.008788779110120219,407,"[39, 21, 47]",10205734.25,502.78999999999996,2,3,True,16.4,False,39,47,0,synthetic,
71,331,9.32394366197183,0.13319919517102616,11,2,1304.665539290539,6,6473508.203333334,9071437.39,3478194.99,0.02573779022747004,0.0,2241,"[25, 40, 37, 7, 31, 41, 16]",38841049.220000006,1909.54,6,13,True,15.77,False,25,16,0,synthetic,
71,331,9.32394366197183,0.13319919517102616,10,9,424.70484452598424,2,5983293.325,8433641.91,3532944.74,0.010350779534631163,0.0051801082645874415,392,"[11, 1, 13]",11966586.65,588.33,2,4,True,16.09,False,11,13,0,synthetic,
